,State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
148,Gujarat,Rajkot,1378422.0,130490.616,6892.11,202168.56,2164596.0,158015.50799999997,7936.852000000001,624125.18
149,Gujarat,Sabar Kantha,1632072.0,223593.86400000003,11424.504,169191.464,364527.0,32928.939000000006,1944.144,93197.403
150,Gujarat,Surat,1109520.0,114280.56,4438.08,184550.16,4589994.0,302939.604,7649.99,1435138.1239999998
151,Gujarat,Surendranagar,1022364.0,124046.832,7838.124,70883.90400000001,479430.0,38034.780000000006,2237.3399999999997,111867.0
152,Gujarat,Tapi,576816.0,69794.736,1922.72,44222.560000000005,78651.0,7812.665999999999,209.73600000000002,20318.175
153,Gujarat,The Dangs,156306.0,18913.025999999998,573.1220000000001,13181.806,22548.0,2014.288,52.611999999999995,4344.248
154,Gujarat,Vadodara,1642362.0,251828.84,10949.08,156024.38999999998,2078913.0,137901.229,5543.768,636840.349
155,Gujarat,Valsad,787230.0,104176.77,3411.3300000000004,72425.16,707943.0,58051.32600000001,2123.829,179345.56
156,Haryana,Ambala,526095.0,77511.33,7540.695,89611.515,419673.0,39729.043999999994,4616.403,124922.663
157,Haryana,Bhiwani,1071141.0,163884.57299999997,18923.490999999998,175667.124,297705.0,41281.76,4366.34,86135.98
158,Haryana,Faridabad,263100.0,37886.4,3771.1,51392.2,1148943.0,149745.571,9191.544,341619.052
159,Haryana,Fatehabad,609060.0,94201.28,11572.140000000001,148001.58000000002,166080.0,18711.679999999997,2712.6400000000003,50322.240000000005
160,Haryana,Gurgaon,425109.0,55689.278999999995,4534.496,92957.16799999999,1145964.0,104664.71199999998,14897.532,350282.99600000004
161,Haryana,Hisar,906039.0,140436.045,16610.715,188758.125,462339.0,49624.386,5085.729,137931.135
162,Haryana,Jhajjar,635448.0,95529.016,10378.984,123912.35999999999,234984.0,32036.152,3524.7599999999998,71826.776
163,Haryana,Jind,835005.0,142229.185,13916.75,142785.855,268995.0,30396.434999999998,2510.62,78546.54
164,Haryana,Kaithal,693273.0,112079.135,11092.368,133339.507,227088.0,27931.824,3103.5359999999996,62600.592000000004
165,Haryana,Karnal,878046.0,139023.94999999998,14341.418,200779.85199999998,407760.0,39824.56,3533.9200000000005,124502.71999999999
166,Haryana,Kurukshetra,610659.0,93634.38,8752.778999999999,140655.123,264804.0,26127.328000000005,3089.38,81559.632
167,Haryana,Mahendragarh,671178.0,94188.64600000001,6935.506,87253.14,132648.0,16448.352000000003,1238.0479999999998,34134.752
168,Haryana,Mewat,562194.0,109440.43199999999,16865.82,33356.844000000005,108711.0,14929.644000000002,1739.376,22648.125
169,Haryana,Palwal,558207.0,95081.259,11722.347,59728.149000000005,189270.0,22838.58,2271.2400000000002,52238.52
170,Haryana,Panchkula,212685.0,24955.04,3473.855,31193.8,280968.0,21259.911999999997,4401.832,82042.65599999999
171,Haryana,Panipat,520506.0,82586.952,7287.084000000001,115725.834,461412.0,59983.560000000005,4460.316,145959.996
172,Haryana,Rewari,598347.0,83170.23300000001,6581.817,99325.602,207915.0,21484.55,1663.32,60849.79
173,Haryana,Rohtak,525609.0,86375.079,8234.541,102318.552,395217.0,43869.08699999999,3556.9530000000004,121331.61899999999
174,Haryana,Sirsa,736428.0,102363.49200000001,14483.084,214791.5,279948.0,30794.280000000002,3825.9559999999997,89490.04400000001
175,Haryana,Sonipat,851574.0,142496.71600000001,13341.326000000001,159528.19600000003,400728.0,47553.056000000004,4541.584000000001,123157.072
176,Haryana,Yamunanagar,643392.0,101012.54400000001,13725.696,98653.44,429777.0,48564.80099999999,5730.36,131655.021
177,Himachal Pradesh,Bilaspur,457374.0,41011.202,1981.9540000000002,104891.10399999999,35961.0,2025.8029999999999,95.896,11207.845000000001
178,Himachal Pradesh,Chamba,559185.0,70830.1,4287.085,90960.76,41508.0,2573.4960000000005,96.85199999999999,12037.32
179,Himachal Pradesh,Hamirpur,588348.0,42361.056000000004,1961.16,174739.35599999997,45696.0,2619.904,91.392,14059.135999999999
180,Himachal Pradesh,Kangra,1764963.0,148845.213,8236.493999999999,378878.724,117021.0,7411.33,624.112,32102.761
181,Himachal Pradesh,Kinnaur,89028.0,13042.601999999999,445.14,30803.688000000002,0.0,0.0,0.0,0.0
182,Himachal Pradesh,Kullu,503985.0,46198.62500000001,2015.94,91053.29000000001,62127.0,3189.186,269.21700000000004,18762.354
183,Himachal Pradesh,Lahul and Spiti,34868.0,5875.258000000001,139.472,13615.953999999998,0.0,0.0,0.0,0.0
184,Himachal Pradesh,Mandi,1293387.0,120716.12000000001,6898.064,353525.77999999997,95088.0,5483.408,221.87199999999999,29160.32
185,Himachal Pradesh,Shimla,837807.0,68141.636,6423.187,167002.862,287688.0,17357.176000000003,1246.6480000000001,86977.672
186,Himachal Pradesh,Sirmaur,513306.0,52870.518,4790.856,97357.03799999999,63162.0,4147.638,210.54,20232.894
187,Himachal Pradesh,Solan,578361.0,47232.815,3662.953,133023.03,154527.0,9632.182999999999,721.126,46255.082
188,Himachal Pradesh,Una,555273.0,46828.023,2591.274,108833.50799999999,60378.0,4910.744,966.048,15013.996
189,Jammu and Kashmir,Anantnag,621201.0,89660.011,10560.417,105190.03600000001,211998.0,20139.809999999998,2190.646,53352.83
190,Jammu and Kashmir,Badgam,481947.0,74380.487,6265.311,133820.617,81570.0,9190.22,706.94,24579.760000000002
191,Jammu and Kashmir,Bandipore,241563.0,43239.777,5958.554000000001,56445.221,52665.0,5442.05,754.8649999999999,16554.364999999998
192,Jammu and Kashmir,Baramula,631629.0,97060.323,11158.779,156433.449,146796.0,16636.88,2446.6,45262.1
193,Jammu and Kashmir,Doda,366801.0,73360.2,1956.272,29344.079999999998,34050.0,2689.95,329.15,10600.900000000001
194,Jammu and Kashmir,Ganderbal,191364.0,30235.512,6059.86,44332.659999999996,40674.0,2982.76,610.11,12378.454
195,Jammu and Kashmir,Jammu,763698.0,97753.344,12473.734,62623.236000000004,744129.0,56057.718,8433.462000000001,210588.507
196,Jammu and Kashmir,Kathua,544122.0,66564.258,6348.090000000001,25755.107999999997,100419.0,9037.710000000001,1037.663,22460.382999999998
197,Jammu and Kashmir,Kishtwar,217134.0,37636.56,2460.8520000000003,14475.6,17979.0,809.0550000000001,41.95099999999999,5597.462
198,Jammu and Kashmir,Kulgam,287856.0,47016.479999999996,4509.744,40011.984000000004,75534.0,10574.76,1057.476,14729.13
199,Jammu and Kashmir,Kupwara,475314.0,92052.47799999999,13150.354000000001,77476.182,69678.0,11496.87,1114.848,16304.652000000002
200,Jammu and Kashmir,Pulwama,442560.0,63433.6,6785.92,92495.04,65109.0,9202.072,651.09,19771.432999999997
201,Jammu and Kashmir,Punch,396417.0,78622.705,3171.3360000000002,18103.042999999998,45807.0,4168.437,122.152,11497.557
202,Jammu and Kashmir,Rajouri,588210.0,103721.03,5293.89,19999.14,52524.0,3256.4880000000003,297.636,14969.34
203,Jammu and Kashmir,Ramban,252843.0,43404.715000000004,1769.901,15002.018000000002,16023.0,1030.813,128.184,4417.0070000000005
204,Jammu and Kashmir,Reasi,286716.0,52469.02799999999,1433.58,8601.48,36783.0,4843.095,134.871,9661.668
205,Jammu and Kashmir,Samba,282741.0,28745.335,3110.1510000000003,24504.22,59967.0,3558.0420000000004,219.87900000000002,14132.223000000002
206,Jammu and Kashmir,Shupiyan,226848.0,25104.512000000002,4461.344,44613.439999999995,15816.0,1813.5679999999998,173.976,4997.856
207,Jammu and Kashmir,Srinagar,13554.0,1734.912,284.634,4007.466,773163.0,59791.272,5669.862000000001,252824.301
208,Jammu and Kashmir,Udhampur,445992.0,66452.808,2973.28,11001.136000000002,104088.0,5898.320000000001,624.528,26056.695999999996
209,Jharkhand,Bokaro,750936.0,125906.936,10262.792,16520.592,775356.0,94851.884,8270.464,162049.404
210,Jharkhand,Chatra,602922.0,115560.04999999999,9043.83,13264.284000000001,43584.0,6740.991999999999,595.6479999999999,9544.896
211,Jharkhand,Deoghar,772119.0,155968.038,13126.023,14155.515,193011.0,24062.038,2702.154,43942.170999999995
212,Jharkhand,Dhanbad,776292.0,135074.80800000002,12161.908,31569.208,1216365.0,180427.475,15812.745,240434.815
213,Jharkhand,Dumka,911091.0,194062.383,18221.82,18829.214,69843.0,7799.135,1164.05,14946.402
214,Jharkhand,Garhwa,818616.0,170272.128,12552.112,13370.728000000001,57540.0,8535.1,1304.24,8880.34
215,Jharkhand,Giridih,1357692.0,242574.304,14029.484,26248.712,140658.0,17347.82,1594.124,28741.118
216,Jharkhand,Godda,829362.0,173336.658,25433.768,21839.866,46728.0,5731.968,654.192,10108.824
217,Jharkhand,Gumla,649887.0,137126.157,6282.241,13864.256,49335.0,6314.88,822.25,11264.825
218,Jharkhand,Hazaribagh,938949.0,151796.755,10328.439,29107.419000000005,206295.0,22761.215,2062.95,50542.275
